word,freq_rank
aback,2.330875
abase,0.144411
abate,1.450585
abbey,9.29996
abbot,6.22807
abhor,0.862366
abide,5.704609
abled,0.080585
abode,4.923101
abort,1.707965
about,1888.490686
above,388.864449
abuse,53.277382
abyss,4.061784
acorn,1.195723
acrid,1.092816
actor,23.606099
acute,70.126628
adage,1.516704
adapt,14.334389
adept,4.018531
admin,2.065027
admit,35.679096
adobe,4.067805
adopt,27.57914
adore,2.310434
adorn,1.797749
adult,84.795012
affix,1.119909
afire,0.852654
afoot,1.516346
afoul,0.522909
after,1117.52171
again,557.302826
agape,1.266651
agate,0.958016
agent,80.190577
agile,2.060948
aging,27.178227
aglow,0.588857
agony,8.869981
agora,0.956299
agree,66.507619
ahead,67.015588
aider,0.196482
aisle,5.354011
alarm,18.655192
album,8.395958
alert,18.743135
algae,7.443629
alibi,1.427448
alien,18.464226
align,4.354623
alike,26.550803
alive,51.234879
allay,1.61721
alley,7.455361
allot,0.624488
allow,125.981753
alloy,10.808529
aloft,3.000954
alone,198.280029
along,302.768601
aloof,3.896216
aloud,13.630964
alpha,15.620106
altar,15.810117
alter,27.745539
amass,0.74984
amaze,0.749972
amber,5.163954
amble,0.280502
amend,4.205915
amiss,1.833963
amity,1.182445
among,493.126595
ample,13.625735
amply,3.634672
amuse,2.881203
angel,22.550887
anger,48.87695
angle,60.436438
angry,42.791955
angst,1.04052
anime,0.272033
ankle,8.993671
annex,5.599714
annoy,1.593932
annul,0.752529
anode,4.88935
antic,0.354156
anvil,1.793087
aorta,7.987384
apart,77.400711
aphid,0.79812
aping,0.28239
apnea,2.482069
apple,19.314666
apply,88.946184
apron,4.426584
aptly,3.280539
arbor,9.164367
ardor,1.568386
arena,14.216464
argue,41.715043
arise,48.773663
armor,6.685918
aroma,2.980179
arose,26.262881
array,32.87704
arrow,22.70738
arson,1.682908
artsy,0.121118
ascot,0.375515
ashen,0.925928
aside,46.626574
askew,0.933309
assay,13.085709
asset,20.492255
atoll,1.084697
atone,1.171311
attic,5.916607
audio,15.761845
audit,13.18136
augur,0.538215
aunty,0.681469
avail,7.299862
avert,3.001288
avian,2.663122
avoid,108.086618
await,7.068643
awake,15.913793
award,24.283303
aware,90.827307
awash,0.909208
awful,15.978256
awoke,6.223688
axial,12.740745
axiom,3.977384
axion,0.085612
azure,1.391366
bacon,13.861818
badge,4.355719
badly,27.724064
bagel,0.430709
baggy,1.089763
baker,20.804153
baler,0.161046
balmy,0.758402
banal,1.747325
banjo,1.329692
barge,3.581669
baron,11.58348
basal,16.239295
basic,209.16609
basil,8.244359
basin,26.885753
basis,204.203404
baste,0.510354
batch,10.886799
bathe,3.195075
baton,4.574989
batty,0.367722
bawdy,0.799985
bayou,1.317743
beach,42.507506
beady,0.405062
beard,12.898457
beast,13.633761
beech,2.725107
beefy,0.395847
befit,0.212355
began,296.094461
begat,0.548533
beget,1.010755
begin,124.096939
begun,53.724997
being,467.742908
belch,0.410275
belie,0.714862
belle,6.091048
belly,12.332241
below,207.389629
bench,17.597851
beret,0.775052
berry,8.109536
berth,2.208786
beset,3.949134
betel,1.220352
bevel,1.625671
